Month,Articles
2015-01,546
2015-02,553
2015-03,603
2015-04,590
2015-05,595
2015-06,592
2015-07,622
2015-08,473
2015-09,503
2015-10,514
2015-11,494
2015-12,419
2016-01,422
2016-02,458
2016-03,488
2016-04,490
2016-05,449
2016-06,479
2016-07,413
2016-08,396
2016-09,428
2016-10,404
2016-11,460
2016-12,391
2017-01,380
2017-02,386
2017-03,462
2017-04,438
2017-05,439
2017-06,444
2017-07,326
2017-08,355
2017-09,409
2017-10,377
2017-11,425
2017-12,340
2018-01,358
2018-02,324
2018-03,361
2018-04,384
2018-05,367
2018-06,367
2018-07,275
2018-08,286
2018-09,303
2018-10,353
2018-11,350
2018-12,305
2019-01,366
2019-02,346
